:-)	Smiley
:)	Smiley
:o)	Smiley
:]	Smiley
:3	Smiley
:c)	Smiley
:>	Smiley
=]	Smiley
8)	Smiley
=)	Smiley
:}	Smiley
:^)	Smiley
:?)	Smiley
:-D	Laughing
:D	Laughing
8-D	Laughing
8D	Laughing
x-D	Laughing
xD	Laughing
X-D	Laughing
XD	Laughing
=-D	Laughing
=D	Laughing
-3	Laughing
3	Laughing
B^D	Laughing
:-))	Very happy
>:[	sad
:-(	sad
:(	sad
:-c	sad
:c	sad
:-<	sad
:?C	sad
:<	sad
:-[	sad
:[	sad
:{	sad
;(	sad
:-||	Angry
:@	Angry
>:(	Angry
:'-(	Crying
:'(	Crying
:'-)	emotional happiness
:')	emotional happiness
D:<	disgust
D:	disgust
D8	disgust
D;	disgust
D=	disgust
DX	disgust
v.v	disgust
D-':	disgust
>:O	shock
:-O	shock
:O	shock
8-0	shock
:*	Kiss
:^*	Kiss
( '}{' )	Kiss
;-)	Wink
;)	Wink
*-)	Wink
*)	Wink
;-]	Wink
;]	Wink
;D	Wink
;^)	Wink
":-	"	Wink
>:P	playful
:-P	playful
:P	playful
X-P	playful
x-p	playful
xp	playful
XP	playful
:-p	playful
:p	playful
=p	playful
:-b	playful
:b	playful
>:\	hesitant
>:/	hesitant
:-/	hesitant
:-.	hesitant
:/	hesitant
:\	hesitant
=/	hesitant
=\	hesitant
:L	hesitant
=L	hesitant
:S	hesitant
>.<	hesitant
:|	indecision
:-|	indecision
:$	blushing
:-X	mute
:X	mute
:-#	mute
:#	mute
O:-)	innocent
0:-3	innocent
0:3	innocent
0:-)	innocent
0:)	innocent
0;^)	innocent
>:)	Evil
>;)	Evil
>:-)	Evil
}:-)	Devilish
}:)	Devilish
3:-)	Devilish
3:)	Devilish
o/\o	salutation
^5	salutation
>_>^	salutation
^<_<	salutation
|;-)	Cool
|-O	Cool
:-&	timid
:&	timid
#-)	Partied all night
%-)	Drunk
%)	Drunk
:-###..	Being sick
:###..	Being sick
<:-|	Dumb
<*)))-{	Fish
><(((*>	Fish
><>	Fish
\o/	Cheer
*\0/*	Cheerleader
@}-;-'---	Rose
@>-->--	Rose
~(_8^(I)	Homer Simpson
5:-)	Elvis Presley
~:-\	Elvis Presley
//0-0\\	John Lennon
*<|:-)	Santa Claus
=:o]	Bill Clinton
"	:-)"	Ronald Reagan
7:^]	Ronald Reagan
<3	Heart
</3	broken-heart
